lokasi,judul,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan
"Lowokwaru, Malang","Dijual RUMAH hook jalan Tapak Siring, Strategis Tengah Kota Malang.  60 mtr dari jalan Lembang.   LT 192 LB 235 Tingkat 2 lantai KT 4 KM 3  SHM on ...",1200000000.0,4.0,3.0,192.0,235.0,2026-04-13,Lowokwaru
"Blimbing, Malang",Turun Harga! Rumah Murah Kawasan Elite Araya Blok Depan Dekat Plaza.  Kawasan elite di kota Malang mudah diakses dan jalanan yang lebar. Fasilitas ...,1650000000.0,3.0,2.0,200.0,180.0,2026-04-13,Blimbing
"Lowokwaru, Malang","Kesempatan terbatas buat Anda dapatkan rumah strategis dengan return investasi tinggi di Lowokwaru, Malang.  Rumah ini menawarkan kelengkapan fasil...",995000000.0,2.0,2.0,112.0,80.0,2026-04-13,Lowokwaru
"Lowokwaru, Malang","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Lowokwaru, Malang.  Rumah ini menawarkan lokasi yang strategi...",1300000000.0,5.0,3.0,138.0,170.0,2026-04-13,Lowokwaru
"Lowokwaru, Malang",Harga Promo khusus Lebaran Rumah with panoramic room Dan Rooftop dekat Brawijaya,898000000.0,3.0,2.0,72.0,120.0,2026-04-13,Lowokwaru
"Lowokwaru, Malang",*Dijual Rumah Baru Modern Semi Furnished Dekat Hua Ind di Ikan2 Lowokwaru Malang*  Lt. 68 Lb. 170 Lantai 3 Kamar tidur 4 Kamar mandi 3 Listrik 2200...,1100000000.0,4.0,3.0,68.0,170.0,2026-04-13,Lowokwaru
"Sawojajar, Malang","DI JUAL Rumah Baru Modern Minimalis Sawojajar 1 Kota MALANG  Spesifikasi : LT : 97 m2 LB : 135 m2 Dimensi : 7,1 x 13,6 KT : 3 KM : 3 Listrik : 2200...",1160000000.0,3.0,3.0,97.0,135.0,2026-04-13,Blimbing
"Sawojajar, Malang","Dijual Rumah di Jalan Danau-Danau Sawojajar 1 Kedungkandang - Kota Malang Dekat Sawojajar, Tol Madyopuro & jalan utama  Spesifikasi:  - Legalitas: ...",625000000.0,3.0,2.0,60.0,65.0,2026-04-13,Blimbing
"Blimbing, Malang",DIJUAL Rumah Elegan 2 Lantai di Greenwood Araya Malang  Spesifikasi : LT : 300 m2 LB : 450 m2 Lantai : 2 KT : 5 + 2 KM : 4 + 1 Listrik : 12.500 VA ...,5500000000.0,5.0,4.0,300.0,450.0,2026-04-13,Blimbing
"Araya, Malang","RUMAH MURAH DI PERUMAHAN ELITE ARAYA MALANG :thumbs_up: -Perumahan Elite, Fasilitas Lengkap -Dekat KDS, Taman Indie, Araya Golf, dll  LT/LB 240 (12...",1590000000.0,4.0,4.0,240.0,240.0,2026-04-13,Blimbing
