lokasi,judul,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan
"Araya, Malang",HARGA MURAH DIJUAL RUMAH DI ARAYA GOLF CLASSIC MODERN SIAP HUNI  LT : 240 M²  LB : 400 M² 2 LANTAI KAMAR TIDUR 4 + 2 KAMAR MANDI 4 + 1 ROOFTOP  S...,2500000000.0,5.0,4.0,240.0,400.0,2026-04-13,Blimbing
"Lowokwaru, Malang","Kesempatan terbatas buat Anda dapatkan rumah strategis dengan return investasi tinggi di Lowokwaru, Malang.  Rumah ini menawarkan kelengkapan fasil...",995000000.0,2.0,2.0,112.0,80.0,2026-04-13,Lowokwaru
"Lowokwaru, Malang","Dijual rumah 2 lantai area Soehat. 
 Pondasi disiapkan untuk 3 lantai. Atap lantai 2 sebagian dak cor.
 Dengan 5 KT dan 4 KM serta banyak area luas...",2300000000.0,5.0,4.0,142.0,240.0,2026-04-13,Lowokwaru
"Sukun, Malang","19.5x36.5, utara, row jln 3 mobil, dalam komplek perumahan one gate, badus , siap huni 2lt, hub 0812304xxxx",17000000000.0,4.0,4.0,712.0,718.0,2026-04-13,Sukun
"Klojen, Malang","Rumah Dijual Malang Rumah hook lokasi strategis kota Malang
 \u2705 berada di tepi jalan besar
 \u2705 ada garasi untuk 2 mobil
 \u2705 beberapa la...",11000000000.0,4.0,2.0,683.0,384.0,2026-04-13,Klojen
"Klojen, Malang","Rumah Dijual Malang Rumah klasik posisi hook di daerah gunung-gunung kota Malang
 \u2705 lokasi sangat strategis di tengah kota
 \u2705 lingkungan ...",15000000000.0,4.0,2.0,557.0,350.0,2026-04-13,Klojen
"Araya, Malang","Rumah For Sell Malang Rumah baru 2 lantai di Pondok Blimbing Indah
 model rumah modern minimalis
 lingkungan perumahan yang aman
 dekat Plaza Araya...",1900000000.0,4.0,3.0,144.0,180.0,2026-04-13,Blimbing
"Sukun, Malang","Rumah di daerah Sukun lokasi pemukiman yang aman dan nyaman dekat RST Soepraoen 2,4 km ke alun-alun merdeka harga bisa nego",900000000.0,4.0,2.0,226.0,200.0,2026-04-13,Sukun
"Araya, Malang","Rumah Dijual Malang Rumah di Raya Greenwood Golf Malang
 \u2705 one gate system, security 24 jam
 \u2705 lingkungan kluster yang aman dan nyaman
 \...",5900000000.0,5.0,6.0,300.0,520.0,2026-04-13,Blimbing
"Araya, Malang","Rumah Dijual Malang Rumah full furnished di Araya
 one gate system, security 24 jam
 lingkungan perumahan yang tenang dan nyaman
 desain rumah mode...",2200000000.0,3.0,3.0,120.0,118.0,2026-04-13,Blimbing
"Klojen, Malang","Rumah Dijual Malang Rumah Siap Huni
 5 kamar tidur
 1 kamar tidur pembantu
 2 kamar mandi
 1 dapur
 2 carpot
 1 ruang tamu
 1 ruang keluarga
 1 gud...",2150000000.0,5.0,2.0,253.0,200.0,2026-04-13,Klojen
"Sawojajar, Malang",RUMAH APIK 4 KAMAR DI SAWOJAJAR MALANG Jual Rumah DANAU-DANAU SAWOJAJAR 1 - Malang LT 300 LB 238 KT 4+1 KM 2+1 Dimensi 12 x 25 Listrik 1300 Rp 2.00...,2000000000.0,4.0,2.0,300.0,238.0,2026-04-13,Blimbing
"Dieng, Malang",RUMAH 2 LANTAI MURAH DI BUKIT DIENG MALANG  Jual Rumah BUKIT DIENG - Malang LT 135 LB 170 KT 3+1 KM 2+1 Dimensi 9 x 15 Listrik 2200 Rp 1.700.000.00...,1700000000.0,3.0,2.0,135.0,170.0,2026-04-13,Sukun
"Lowokwaru, Malang",RUMAH BANGUNAN LAMA DAN LUAS DI DAERAH BUNGA-BUNGA  Jual Rumah JL. BUNGA FLAMBOYAN - Malang LT 469 LB 300 KT 4 KM 3 Dimensi 20 x 23 Listrik 3500 Rp...,3500000000.0,4.0,3.0,469.0,300.0,2026-04-13,Lowokwaru
"Sukun, Malang","Rumah bergaya minimalis di Janti  Cek segera rumah 2 lantai yang nyaman ini,  dijual dengan pemandangan asri yang menambah nilai estetika di lingku...",850000000.0,3.0,1.0,102.0,90.0,2026-04-13,Sukun
"Araya, Malang","8x20, 2lt semi furnish, timur laut, ac , water heater , kitchen set, cluster greenwood golf , hgb, ppdam , sumur, cash only",2500000000.0,4.0,2.0,162.0,120.0,2026-04-13,Blimbing
"Araya, Malang",Dijual Rumah Klasik Posisi Hook di Araya Malang  Spesifikasi:  berada di posisi hook  ⁠kondisi baik dan siap huni  ⁠private cluster  ⁠hanya 3...,2300000000.0,3.0,2.0,210.0,350.0,2026-04-13,Blimbing
"Merjosari, Malang","Rumah 2 lantai di Merjosari, Malang.  Dijual rumah di wilayah yang asri. Properti 2 lantai ini berada di lingkungan strategis. istimewa di daerah M...",1200000000.0,10.0,10.0,75.0,130.0,2026-04-13,Lowokwaru
"Blimbing, Malang","Rumah dengan banyak kamar di jalan candi- candi  Lokasi strategis dekat dengan jalan raya Borobudur , Sekolah Sabililah , Pasar Blimbing dan kampus...",2000000000.0,7.0,2.0,258.0,300.0,2026-04-13,Blimbing
"Dieng, Malang",Rumah 2 lantai siap huni di perumahan Puncak Dieng Lokasi dekat dengan Universitas Brawijaya 2( Kedokteran Hewan)  Bagian belakang rumah masih ada ...,2400000000.0,7.0,4.0,250.0,220.0,2026-04-13,Sukun
"Kedungkandang, Malang","Rumah pojok siap huni di perumahan Citra Garden Malang Akses hanya 5 menit dari exit tol Malang( Madyopuro)  Hawa sejuk , lokasi tenang  Di lantai ...",2500000000.0,4.0,4.0,180.0,186.0,2026-04-13,Kedungkandang
