lokasi,judul,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan
"Lowokwaru, Malang",Spesifikasi: LT : 408 m2 LB : 280 m2 Bangunan 2 Lantai + basement Kamar Tidur 5 + 1 Kamar Mandi 3 Musholla  Ruang Kerja Pribadi Service area + Area...,4000000000,5,3,408,280,4/13/2026,Lowokwaru
"Araya, Malang","8x20, 2lt semi furnish, timur laut, ac , water heater , kitchen set, cluster greenwood golf , hgb, ppdam , sumur, cash only",2500000000,4,2,162,120,4/13/2026,Blimbing
"Klojen, Malang","Dijual rumah mewah dekat kampus Universitas Negeri Malang
 
 Lokasi sangat strategis, area padat lalu lintas, dekat dengan Mall Matos
 Luas 503 m2 ...",10700000000,11,5,503,400,4/13/2026,Klojen
"Klojen, Malang","Dijual rumah berhalaman luas di dekat pasar Tawangmangu Malang
 
 Luas 303 m2
 Lokasi strategis, area padat lalu lintas
 Juga dekat sekolah, puskes...",2700000000,4,2,303,100,4/13/2026,Klojen
"Blimbing, Malang","RUMAH STRATEGIS DEKAT KAMPUS UB - SIAP HUNI!    Lokasi: Jl. Ikan"" Borobudur (area favorit dekat kampus)   Harga: 950 Juta (nego tipis)   Spesifikas...",950000000,3,3,158,150,4/13/2026,Blimbing
"Araya, Malang",Dijual Rumah Klasik Posisi Hook di Araya Malang  Spesifikasi:  berada di posisi hook  ⁠kondisi baik dan siap huni  ⁠private cluster  ⁠hanya 3...,2300000000,3,2,210,350,4/13/2026,Blimbing
"Sawojajar, Malang","Rumah Jual Lokasi Strategis di Pusat Kuliner dan Bisnis, Traffic Ramai Akses Jalan Lebar (aspal) 3 mobil Dekat Velodrom, Exit Tol Malang Kota Cocok...",7000000000,3,3,469,469,4/13/2026,Blimbing
"Sawojajar, Malang","DIJUAL RUMAH DALAM PERUMAHAN - TENGAH KOTA MALANG | LOKASI RAMAI & STRATEGIS  Rumah siap huni di kawasan padat penduduk, dikelilingi area kuliner, ...",1300000000,4,2,127,100,4/13/2026,Blimbing
"Klojen, Malang","VI# Dijual Rumah Terawat Tengah Kota di Kawasan Komersial, Jl.  Dr. Sutomo, Klojen, Malang  Keunggulan:  1. Bisa dijadikan ruang usaha: Cafe / Kant...",7950000000,6,3,429,350,4/13/2026,Klojen
"Kedungkandang, Malang","[PRIMARY PROJECT - READY STOCK - FULLY FURNISHED) Dijual Rumah Modern Full Furnish hanya 7 menit dari Exit Tol Malang, Cemorokandang, Malang  Spesi...",1800000000,3,2,200,100,4/13/2026,Kedungkandang
"Blimbing, Malang","Rumah Jl Simpang KH Yusuf Malang dekat dengan UB, Plaza Araya, TOL   JALAN SIMPANG KH YUSUF KAVLING WAING LOWOKWARU KOTA MALANG  Bangunan 2 lantai ...",1300000000,4,2,153,190,4/13/2026,Blimbing
"Lowokwaru, Malang","Kesempatan terbatas buat Anda dapatkan rumah strategis dengan return investasi tinggi di Lowokwaru, Malang.  Rumah ini menawarkan kelengkapan fasil...",995000000,2,2,112,80,4/13/2026,Lowokwaru
"Lowokwaru, Malang","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Lowokwaru, Malang.  Rumah ini menawarkan lokasi yang strategi...",1300000000,5,3,138,170,4/13/2026,Lowokwaru
"Lowokwaru, Malang","Dijual RUMAH hook jalan Tapak Siring, Strategis Tengah Kota Malang.  60 mtr dari jalan Lembang.   LT 192 LB 235 Tingkat 2 lantai KT 4 KM 3  SHM on ...",1200000000,4,3,192,235,4/13/2026,Lowokwaru
"Sawojajar, Malang","DI JUAL Rumah Baru Modern Minimalis Sawojajar 1 Kota MALANG  Spesifikasi : LT : 97 m2 LB : 135 m2 Dimensi : 7,1 x 13,6 KT : 3 KM : 3 Listrik : 2200...",1160000000,3,3,97,135,4/13/2026,Blimbing
"Sawojajar, Malang","Dijual Rumah di Jalan Danau-Danau Sawojajar 1 Kedungkandang - Kota Malang Dekat Sawojajar, Tol Madyopuro & jalan utama  Spesifikasi:  - Legalitas: ...",625000000,3,2,60,65,4/13/2026,Blimbing
"Blimbing, Malang",DIJUAL Rumah Elegan 2 Lantai di Greenwood Araya Malang  Spesifikasi : LT : 300 m2 LB : 450 m2 Lantai : 2 KT : 5 + 2 KM : 4 + 1 Listrik : 12.500 VA ...,5500000000,5,4,300,450,4/13/2026,Blimbing
"Araya, Malang","RUMAH MURAH DI PERUMAHAN ELITE ARAYA MALANG :thumbs_up: -Perumahan Elite, Fasilitas Lengkap -Dekat KDS, Taman Indie, Araya Golf, dll  LT/LB 240 (12...",1590000000,4,4,240,240,4/13/2026,Blimbing
"Blimbing, Malang",Rumah Konsep Landed Apartment M-House The Araya Malang  • ⁠1 menit ke kampus Binus • ⁠dekat bandara Abd Saleh • ⁠5 menit ke pintu tol P...,400000000,1,2,13,27,4/13/2026,Blimbing
"Lowokwaru, Malang",Dijual Rumah Baru Gress 2 Lantai Siap Huni Jalan Ikan Ikan Lowokwaru Malang  Ready ada 2 unit jejer sama persis - 500m dari Hwaind - ⁠5 menit ke ...,1250000000,3,2,87,92,4/13/2026,Lowokwaru
"Blimbing, Malang",Harga 699.000.000  LT : 75 m² LB : 50 m² 2 Kamar Tidur 1 Kamar Mandi 1 Lantai 1300 Watt Air PDAM  BONUS - Kanopi Carport - ⁠Smart Doorlock  FRE...,699000000,2,1,75,50,4/13/2026,Blimbing
"Lowokwaru, Malang","- Lokasi daerah Bunga-bunga - 1,5 lantai - Dekat UB dan Polinema - Dekat Raya Suhat - Bangunan minimalis - Hunian nyaman dan terawat - Cocok untuk ...",1180000000,3,2,112,83,4/13/2026,Lowokwaru
"Blimbing, Malang",Rumah Murah luas 300 m2 Row Jalan Kembar di Boulevard Araya Golf  Kawasan elite di kota Malang mudah diakses dan jalanan yang lebar. Fasilitas sang...,3700000000,4,4,300,250,4/13/2026,Blimbing
"Dieng, Malang","Rumah nyaman 2 lantai, Bangunan minimalis 3 Kamar tidur, 2 Kamar mandi, carport 1 mobil. Lokasi di Perumahan Bukit Dieng Malang. Dekat Sekolah My L...",1550000000,3,2,135,170,4/13/2026,Sukun
"Merjosari, Malang","Dijual rumah minimalis untuk keluarga kecil dalam cluster area Puncak Joyo Agung Merjosari. Dekat dengan Kampus UIN dan UNISMA 
 Dekat dengan Cafe ...",460000000,3,1,68,48,4/13/2026,Lowokwaru
"Blimbing, Malang","Lokasi Nyaman di Perumahan BMW Sulfat Luas 139 m2.  Lokasi berada di area perumahan Sulfat, mudah diakses dan row jalanan yang lebar. Dekat dengan ...",1150000000,3,2,139,100,4/13/2026,Blimbing
"Sawojajar, Malang","Dijual rumah dua lantai di jalan Tondano dalam, lokasi strategis dan sudah ramai penduduk nya. Aman, nyaman dan sangat cocok buat usaha.",850000000,5,3,78,150,4/13/2026,Blimbing
"Blimbing, Malang","Rumah Murah di Perumahan Elit Blimbing - Pinggir Jalan Poros, Akses Super Strategis!  Kesempatan langka punya rumah di kawasan elit dengan harga me...",1500000000,4,2,300,210,4/13/2026,Blimbing
"Blimbing, Malang","Dijual rumah hunian modern minimalis Area Perumahan Tasikmadu Blimbing. Lokasi dekat dengan SMP/SMA Sabilillah, 15 menit dari Kampus Brawijaya, Pol...",900000000,4,2,84,120,4/13/2026,Blimbing
"Blimbing, Malang","Rumah Semifurnished, Minimalis Modern Di Daerah Ikan- Blimbing  Bangunan terawat dan siap huni  Lokasi dekat ke - kampus ub - kampus polinema - sma...",680000000,2,2,82,40,4/13/2026,Blimbing
"Lowokwaru, Malang","Dijual rumah nyaman di daerah Lowokwaru  Lokasi dekat dengan berbagai fasilitas publik, hanya 15 menit dari kampus Universitas Brawijaya dan hanya ...",2300000000,4,3,200,150,4/13/2026,Lowokwaru
"Lowokwaru, Malang",*Dijual Rumah Baru Modern Semi Furnished Dekat Hua Ind di Ikan2 Lowokwaru Malang*  Lt. 68 Lb. 170 Lantai 3 Kamar tidur 4 Kamar mandi 3 Listrik 2200...,1100000000,4,3,68,170,4/13/2026,Lowokwaru
"Lowokwaru, Malang",Harga Promo khusus Lebaran Rumah with panoramic room Dan Rooftop dekat Brawijaya,898000000,3,2,72,120,4/13/2026,Lowokwaru
"Blimbing, Malang","Dijual rumah 2 lantai perumahan Araya Malang Kota
 
 Luas 214 m2 dengan 6 kamar tidur
 Lokasi nyaman, akses mudah
 Dekat dengan berbagai fasilitas ...",1950000000,6,4,214,300,4/13/2026,Blimbing
"Blimbing, Malang","Rumah 1 Lantai, Semifurnished Lokasi Di PBI Araya  Bangunan terawat dan siap huni  Lokasi dekat ke - rs persada - kampus binus - exit tol pakis mal...",1780000000,4,2,179,100,4/13/2026,Blimbing
"Dieng, Malang","Rumah 1 lantai di Dieng, Malang.  For sale rumah di wilayah yang nyaman. Properti 1 lantai ini berada di lingkungan strategis.  Spesifikasinya adal...",1100000000,2,1,108,90,4/13/2026,Sukun
"Oro-Oro Dowo, Malang","Dijual rumah mewah di daerah Oro Oro Dowo Malang  Luas 502 m2 dan memiliki 7 kamar tidur Ada fasilitas kolam renang Lokasi nyaman, akses mudah, dek...",6000000000,7,4,502,1000,4/13/2026,Klojen
"Klojen, Malang","LT 590 m²  LB 400 m²  KT 10 KM 4 SHM  	⁃	Dekat dengan MOG 	⁃	Dekat dengan Jl. Kawi 	⁃	Dekat dengan RS Hermina 	⁃	Dekat dengan Stadion Gaj...",19900000000,10,4,590,400,4/13/2026,Klojen
"Klojen, Malang","LT 590 m²  LB 400 m²  KT 10 KM 4 SHM  	⁃	Dekat dengan MOG 	⁃	Dekat dengan Jl. Kawi 	⁃	Dekat dengan RS Hermina 	⁃	Dekat dengan Stadion Gaj...",19900000000,10,4,590,400,4/13/2026,Klojen
"Lowokwaru, Malang","Rumah Murah Luas 183 m2 Area Perumahan Borobudur Agung Suhat.  Lokasi dekat dengan jalan soekarno hatta, pusat perbelanjaan, rumah sakit, pom bensi...",1500000000,4,2,183,160,4/13/2026,Lowokwaru
"Blimbing, Malang","Rumah Murah Luas 794 m2 di Area Ciliwung Dekat Jalan Raya Malang  Rumah berada di daerah ciliwung malang Lokasi strategis, tidak jauh dari pusat ko...",3700000000,6,2,794,250,4/13/2026,Blimbing
"Araya, Malang","Rumah Nyaman 2 lantai, bangunan bagus, terawat, 4 Kamar tidur, 3 Kamar mandi, garasi, SHM, siap huni. Lokasi di Perumahan Elit Araya Malang. Dekat ...",1900000000,4,3,145,145,4/13/2026,Blimbing
"Klojen, Malang","Rumah Murah Kawasan Elite Perumahan Ijen Nirwana Dekat Buah Buahan Luas 247 m2.  Area perumahan yang nyaman dengan keamanan 24 jam, kawasan elite. ...",2750000000,3,3,247,120,4/13/2026,Klojen
"Sukun, Malang","Turun Harga! Rumah Bagus di Area Perumahan Puncak Dieng Malang.  Rumah berada di daerah perumhan puncak dieng malang Lokasi strategis, tidak jauh d...",1650000000,3,2,204,150,4/13/2026,Sukun
"Dieng, Malang","Dijual rumah semi furnish (sudah ada AC, water heater, ada canopy di carport dan di dapur). Lokasi strategis sangat dekat dengan Univ. Machung, Uni...",995000000,2,1,84,65,4/13/2026,Sukun
"Sawojajar, Malang","DIJUAL RUMAH SIAP HUNI 2,5 LANTAI - SAWOJAJAR 2, KOTA MALANG  Hunian luas dan nyaman di kawasan favorit Sawojajar 2. Cocok untuk keluarga besar mau...",750000000,4,2,84,180,4/13/2026,Blimbing
"Lowokwaru, Malang",:fire:‼️HOT LISTING RUMAH SUHAT LOWOKWARU  MALANG‼️:fire:  DIJUAL Rumah Eksklusif di Kalila Residence Lowokwaru Suhat Malang  Spesifikasi :...,1000000000,3,2,84,135,4/13/2026,Lowokwaru
"Klojen, Malang","[Deal Terbaik, Harga Masuk]  Dijual Rumah Mewah Furnished di Pusat Kota, Selangkah dari Ijen Boulevard, Malang   Lantai full marmer  Furnished impo...",32500000000,5,5,1202,1300,4/13/2026,Klojen
"Lowokwaru, Malang","Rumah Minimalis Area SMA 9 Suhat Dekat Patung Pesawat  Lokasi dekat dengan jalan soekarno hatta, pusat perbelanjaan, rumah sakit, pom bensin dan be...",1400000000,4,3,131,100,4/13/2026,Lowokwaru
"Sukun, Malang","Dijual rumah lokasi nyaman daerah Tidar Malang Kota
 
 Fitur rumah meliputi :
 - Sertifikat sudah SHM
 - Bangunan bebas perawatan, material 80% gra...",6500000000,9,7,467,800,4/13/2026,Sukun
"Klojen, Malang","Rumah Dijual Area Klojen - Lokasi Strategis Tengah Kota Malang  Rumah berada di kawasan premium Klojen, salah satu area favorit di pusat Kota Malan...",2600000000,3,2,407,180,4/13/2026,Klojen
"Klojen, Malang","Dijual Rumah Mewah Furnished di Pusat Kota, Selangkah dari Ijen Boulevard, Klojen Malang   Lantai full marmer  Furnished import Italy Private pool ...",32500000000,5,5,1202,1300,4/13/2026,Klojen
"Merjosari, Malang","Rumah di Merjosari.  Dapatkan rumah 2 lantai yang asri ini,  dijual dengan pemandangan indah yang menambah nilai estetika di lingkungan hunian. Rum...",1200000000,10,10,75,133,4/13/2026,Lowokwaru
"Lowokwaru, Malang","(DN2687) Untuk Katalog Properti Lengkap, Bisa Diakses Langsung Melalui Link Berikut ********  Lokasi Hanya Selangkah Ke Suhat (Pusat Pendidikan, Bi...",3590000000,18,19,162,300,4/13/2026,Lowokwaru
"Lowokwaru, Malang","(RKS667) Lokasi Hanya Selangkah Ke Suhat (Pusat Pendidikan, Bisnis Dan Kuliner Kota Malang)  Passive Income 1,7 - 2jt-An / Bulan  Token Listrik Uta...",3590000000,18,19,162,300,4/13/2026,Lowokwaru
"Lowokwaru, Malang","Dijual rumah bagus minimalis modern di perumahan daerah Lowokwaru Malang  Luas 108 m2 Rumah memiliki 3 kamar tidur Lokasi nyaman, akses mudah, deka...",900000000,3,2,108,70,4/13/2026,Lowokwaru
"Araya, Malang","(DN2675) Untuk Katalog Properti Lengkap, Bisa Diakses Langsung Melalui Link Berikut ********  (Rumah Selesai Bangun Di Bulan Juni-Juli 2026) Luas T...",3100000000,5,4,180,260,4/13/2026,Blimbing
"Lowokwaru, Malang","(RN161) Lokasi Hanya Selangkah Ke Suhat (Pusat Pendidikan, Bisnis Dan Kuliner Kota Malang)  Passive Income 1,7 - 2jt-An / Bulan  Token Listrik Utam...",3590000000,18,19,162,300,4/13/2026,Lowokwaru
"Klojen, Malang","Rumah Klasik di Tengah Kota Area Langsep Dieng Luas 313 m2  Lokasi strategis, dekat dengan pusat perbelanjaan, alun2 kota, rumah sakit, selangkah d...",3600000000,5,3,313,240,4/13/2026,Klojen
"Klojen, Malang","(DN2671) Untuk Katalog Properti Lengkap, Bisa Diakses Langsung Melalui Link Berikut ********  Lantai Full Marmer  Furnished Import Italy Private Po...",32500000000,10,7,1280,1300,4/13/2026,Klojen
"Klojen, Malang",Dijual rumah di Area Jalan Poros Raya Bogor Veteran. Lokasi sangat-sangat bagus dan strategis. Berada di Tengah Kota Malang yang merupakan kawasan ...,12000000000,7,3,601,300,4/13/2026,Klojen
"Araya, Malang","Selling point: Dekat Plaza Araya Dekat Binus, SMP Al Kautsar dll Dekat KDS Restaurant  Dekat Taman Indie Dekat Beauty Clinic, Lapangan padel, golf,...",1700000000,3,1,190,90,4/13/2026,Blimbing
"Araya, Malang",DIJUAL RUMAH BARU MODERN SIAP HUNI HARGA MIRING   Lokasi : PERUMAHAN ELITE  ARAYA PBI  KOTA MALANG   LOKASI BLOK DEPAN   KAWASAN HUNIAN PERUMAHAN ...,1900000000,4,3,144,160,4/13/2026,Blimbing
"Blimbing, Malang",Turun Harga! Rumah Murah di Perumahan Araya Blimbing Luas 264 m2  Kawasan elite di kota Malang mudah diakses dan jalanan yang lebar. Fasilitas sang...,2100000000,3,2,264,180,4/13/2026,Blimbing
"Kedungkandang, Malang","Rumah Dua Lantai Minimalis Modern Mewah di Kota Malang Cocok untuk Pasangan Muda, Mahasiswa dan Lain Lain dengan Harga Sangat Terjangkau  - Free ka...",365000000,2,2,44,46,4/13/2026,Kedungkandang
"Araya, Malang","(DN2679) Untuk Katalog Properti Lengkap, Bisa Diakses Langsung Melalui Link Berikut ********  - ⁠Posisi Hook Dan Berada Di Jalan Kembar Dengan RO...",5500000000,4,4,315,350,4/13/2026,Blimbing
"Lowokwaru, Malang","Rumah Jual Dekat Soekarno Hatta dan Belakang Kampus ASIA, dekat Kampus Widyagama, Polinema, Univ. Brawijaya, Kuliner Suhat, RS UB dan RSIA Permata ...",1750000000,3,2,157,100,4/13/2026,Lowokwaru
"Lowokwaru, Malang","Rumah 2 Lantai Modern Minimalis Lokasi Elite Green Orchid Suhat  Lokasi dekat dengan jalan soekarno hatta, pusat perbelanjaan, rumah sakit, pom ben...",1300000000,2,2,75,120,4/13/2026,Lowokwaru
"Blimbing, Malang",Rumah Murah 2 Lantai di Perumahan Elite Araya Malang Luas 302 m2  Kawasan elite di kota Malang mudah diakses dan jalanan yang lebar. Fasilitas sang...,2200000000,6,4,302,300,4/13/2026,Blimbing
"Sukun, Malang","Rumah di Sukun.  Temukan rumah 2 lantai yang asri ini,  dijual dengan pemandangan asri yang menambah nilai estetika di lingkungan hunian. Rumah ini...",3000000000,8,4,390,750,4/13/2026,Sukun
"Blimbing, Malang",Rumah Hooq Luas 286 m2 Kawasan Elite Perumahan Araya Malang  Kawasan elite di kota Malang mudah diakses dan jalanan yang lebar. Fasilitas sangat le...,2500000000,3,3,286,145,4/13/2026,Blimbing
"Blimbing, Malang",Turun Harga! Rumah Murah Kawasan Elite Araya Blok Depan Dekat Plaza.  Kawasan elite di kota Malang mudah diakses dan jalanan yang lebar. Fasilitas ...,1650000000,3,2,200,180,4/13/2026,Blimbing
"Araya, Malang",DIJUAL RUMAH BARU MODERN SIAP HUNI HARGA MIRING   Lokasi : PERUMAHAN ELITE  ARAYA PBI  KOTA MALANG   LOKASI BLOK DEPAN   KAWASAN HUNIAN PERUMAHAN ...,1900000000,4,3,144,160,4/13/2026,Blimbing
"Blimbing, Malang","[Harga Miring, Jual Cepat] Turun Harga ❗️  Dijual Rumah Usaha, Rumah di Area Jalan Ciliwung, Purwantoro, Blimbing Malang  Lokasi Strategis Coco...",1700000000,3,2,176,328,4/13/2026,Blimbing
"Lowokwaru, Malang","(DN2687) Untuk Katalog Properti Lengkap, Bisa Diakses Langsung Melalui Link Berikut ********  Lokasi Hanya Selangkah Ke Suhat (Pusat Pendidikan, Bi...",3590000000,18,19,162,300,4/13/2026,Lowokwaru
"Lowokwaru, Malang",Spesifikasi: LT : 408 m2 LB : 280 m2 Bangunan 2 Lantai + basement Kamar Tidur 5 + 1 Kamar Mandi 3 Musholla  Ruang Kerja Pribadi Service area + Area...,4000000000,5,3,408,280,4/13/2026,Lowokwaru
"Sawojajar, Malang",Dijual Rumah 2 Lt Siap Huni Dekat Exit Tol di Sawojajar Malang  Dijual Rumah 2 Lantai Siap Huni dekat Exit Tol di Sawojajar Kota Malang Spesifikasi...,2700000000,3,2,240,180,4/13/2026,Blimbing
"Lowokwaru, Malang",Dijual Rumah di Jl. Papa Papa Lowokwaru - Kota Malang Dekat UB & Polinema  Spesifikasi: Legalitas: SHM Jumlah Lantai: 2 Lantai (+ jemuran lantai 3)...,3450000000,5,3,273,500,4/13/2026,Lowokwaru
"Klojen, Malang","DIJUAL RUMAH BARU TENGAH KOTA LETJEND S PARMAN KOTA MALANG   BANGUNAN BARU GRESS MODERN SIAP HUNI   KAWASAN HUNIAN YANG NYAMAN, AMAN DAN TENANG   D...",1900000000,4,2,175,160,4/13/2026,Klojen
"Blimbing, Malang",Dijual Rumah 2 Lantai Siap Huni dengan Private Pool dekat Kampus UMM di Ampeltendo Karangploso Malang*  Spesifikasi  - Sertifikat : SHM - Luas Tana...,1500000000,4,3,144,200,4/13/2026,Blimbing
"Sukun, Malang","Dijual Rumah Siap Huni – Bukit Cemara Tidar, Malang Karang Besuki, Kec. Sukun, Kota Malang  Lokasi Strategis: Dekat kampus UB, UM, Unmer, ITN, UM...",750000000,3,1,130,100,4/13/2026,Sukun
"Lowokwaru, Malang",Dijual rumah di Perumahan Elit Permata Jingga Soekarno Hatta. Lokasi perumahan sangat strategis dan akses mudah kemana-mana. Lingkungan perumahan s...,5300000000,4,5,350,350,4/13/2026,Lowokwaru
"Sawojajar, Malang","DIJUAL RUMAH BARU - SIAP HUNI  Sawojajar 1, Kota Malang  Hunian nyaman dengan pondasi kuat hingga 3 lantai, lokasi strategis dan investasi menjanji...",1450000000,3,2,150,150,4/13/2026,Blimbing
"Araya, Malang",DIJUAL RUMAH TERAWAT DAN SIAP HUNI DI ARAYA MALANG  Spesifikasi : LT                             : 200m² LB                            : 150m² KT...,2000000000,4,3,200,150,4/13/2026,Blimbing
"Sawojajar, Malang",RUMAH BARU GRESS DI SENTANI SAWOJAJAR MALANG Jual Rumah DANAU SENTANI - Malang LT 150 LB 117 KT 3 KM 2 Dimensi 10 x 15 Listrik 1300 Rp 1.450.000.00...,1450000000,3,2,150,117,4/13/2026,Blimbing
"Lowokwaru, Malang",Spesifikasi: LT : 408 m2 LB : 280 m2 Bangunan 2 Lantai + basement Kamar Tidur 5 + 1 Kamar Mandi 3 Musholla  Ruang Kerja Pribadi Service area + Area...,4000000000,5,3,408,280,4/13/2026,Lowokwaru
"Araya, Malang","Dijual rumah hook di kawasan prestisius PBI Araya, Kota Malang. Lokasi premium dengan lingkungan nyaman, aman, dan sangat cocok untuk hunian eksklu...",5500000000,3,2,505,153,4/13/2026,Blimbing
"Dieng, Malang",Lokasi super strategis di kawasan elit Puncak Dieng. Dekat berbagai kampus dan fasilitas umum.  Selling Point : Dekat Unmer Malang Dekat Kampus Mac...,2600000000,7,4,250,220,4/13/2026,Sukun
"Klojen, Malang",Daerah Gunung-Gunung Lokasi strategis dan rumah luas. cocok untuk restoran/cafe  ar wel,13500000000,4,2,543,267,4/13/2026,Klojen
"Dieng, Malang",Spesifikasi: LT 330 m2 LB 350 m2  2 lantai Kamar tidur 4 Kamar mandi 4 Listrik 4400 Watt Air PDAM Hadap selatan dan timur Carport 3 SHM + IMB  Harg...,3500000000,4,4,330,350,4/13/2026,Sukun
"Dieng, Malang","*Dijual rumah Bukit Dieng di kota Malang dan dekat cbyer &Mcp mall , selangkah ke UnMer*.    Ltnh 150m2  Lbgn 250m2  Ktdr 4+1   Kmndi 3+1  Lantai 2...",2900000000,3,3,150,250,4/12/2026,Sukun
