lokasi,judul,deskripsi,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan,catatan
"Araya, Malang",Luas tanah : 420 m²  Dimensi : 21 x 20 Luas bangunan : 550 m² (2 lt) Kamar tidur : 5 + 1 Kamar mandi : 5 + 1  Hadap : Utara Row Jalan : Boulevard...,Luas tanah : 420 m²  Dimensi : 21 x 20 Luas bangunan : 550 m² (2 lt) Kamar tidur : 5 + 1 Kamar mandi : 5 + 1  Hadap : Utara Row Jalan : Boulevard...,5500000000.0,6.0,6.0,420.0,550.0,2026-04-16,Blimbing,Aman
"Tidar, Malang",DIJUAL RUMAH VILLA PUNCAK TIDAR MALANG HARGA MIRING   BANGUNAN MEWAH MODERN  *PROSES UPGRADE BANGUNAN DAN FACADE  Lokasi : PERUMAHAN ELITE  VILLA P...,DIJUAL RUMAH VILLA PUNCAK TIDAR MALANG HARGA MIRING   BANGUNAN MEWAH MODERN  *PROSES UPGRADE BANGUNAN DAN FACADE  Lokasi : PERUMAHAN ELITE  VILLA P...,1500000000.0,3.0,1.0,130.0,100.0,2026-04-16,Sukun,Aman
"Araya, Malang","- Rumah baru tipe student accomodation - Dekat BINUS - Lingkungan aman dan tenang  (Semua listing kami sudah melalui proses screening, dan aman leg...","- Rumah baru tipe student accomodation - Dekat BINUS - Lingkungan aman dan tenang  (Semua listing kami sudah melalui proses screening, dan aman leg...",1040000000.0,4.0,2.0,91.0,55.0,2026-04-16,Blimbing,Aman
"Tidar, Malang",DIJUAL RUMAH GREENLAND TIDAR KOTA MALANG HARGA MIRING   BLOK DEPAN  ROW JALAN 3 MOBIL   MASUK KOTAMADYA MALANG   Luas Tanah: 120 m2 Luas Bangunan: ...,DIJUAL RUMAH GREENLAND TIDAR KOTA MALANG HARGA MIRING   BLOK DEPAN  ROW JALAN 3 MOBIL   MASUK KOTAMADYA MALANG   Luas Tanah: 120 m2 Luas Bangunan: ...,1300000000.0,3.0,2.0,120.0,70.0,2026-04-16,Sukun,Aman
"Araya, Malang","- Rumah baru dan minimalis - Lokasi Araya - Lingkungan aman dan tenang - Dekat Kampus BINUS  (Semua listing kami sudah melalui proses screening, da...","- Rumah baru dan minimalis - Lokasi Araya - Lingkungan aman dan tenang - Dekat Kampus BINUS  (Semua listing kami sudah melalui proses screening, da...",806000000.0,2.0,1.0,49.0,49.0,2026-04-16,Blimbing,Aman
"Blimbing, Malang","RUMAH SIAP HUNI - BLIMBING MALANG    Perumahan Area Cakalang, Blimbing   Harga 780 Juta (NEGO)   Spesifikasi: LT 119 m² 3 Kamar Tidur 1 Kamar Mand...","RUMAH SIAP HUNI - BLIMBING MALANG    Perumahan Area Cakalang, Blimbing   Harga 780 Juta (NEGO)   Spesifikasi: LT 119 m² 3 Kamar Tidur 1 Kamar Mand...",780000000.0,3.0,1.0,119.0,100.0,2026-04-16,Blimbing,Aman
"Dieng, Malang",Spesifikasi:  LT 84 m2 Dimensi 7x12m LB 157 m2 Kamar Tidur 3 Kamar Mandi 2 Dapur Listrik 2.200W Air artesis Carport 1 Mobil Legalitas SHM + IMB Had...,Spesifikasi:  LT 84 m2 Dimensi 7x12m LB 157 m2 Kamar Tidur 3 Kamar Mandi 2 Dapur Listrik 2.200W Air artesis Carport 1 Mobil Legalitas SHM + IMB Had...,1450000000.0,3.0,2.0,84.0,157.0,2026-04-16,Sukun,Aman
"Dieng, Malang","Spesifikasi: LT 525 m (20x25) LB 500 m2 Tingkat 2 Kamar Tidur 4+2 Kamar Mandi : 4 Listrik 5500 kwh Hadap utara  SHM  Harga  6,5 M (Nego)   More Inf...","Spesifikasi: LT 525 m (20x25) LB 500 m2 Tingkat 2 Kamar Tidur 4+2 Kamar Mandi : 4 Listrik 5500 kwh Hadap utara  SHM  Harga  6,5 M (Nego)   More Inf...",6500000000.0,6.0,4.0,525.0,500.0,2026-04-16,Sukun,Aman
"Lowokwaru, Malang","DIJUAL RUMAH NYAMAN - MOJOLANGU, SUHAT LOWOKWARU MALANG   Lokasi:  Sudimoro  Mojolangu - Lowokwaru, Kota Malang Lingkungan tenang & strategis, deka...","DIJUAL RUMAH NYAMAN - MOJOLANGU, SUHAT LOWOKWARU MALANG   Lokasi:  Sudimoro  Mojolangu - Lowokwaru, Kota Malang Lingkungan tenang & strategis, deka...",900000000.0,2.0,2.0,104.0,60.0,2026-04-16,Lowokwaru,Aman
"Tidar, Malang",Spesifikasi : LT 78 m2 LB 50 m2 Kamar Mandi 1 Kamar Tidur 2 Sertifikat SHM Carport 1 Listrik 1300 Hadap Utara  Harga 650jt (Kosongan)  More Info:  ...,Spesifikasi : LT 78 m2 LB 50 m2 Kamar Mandi 1 Kamar Tidur 2 Sertifikat SHM Carport 1 Listrik 1300 Hadap Utara  Harga 650jt (Kosongan)  More Info:  ...,650000000.0,2.0,1.0,78.0,50.0,2026-04-16,Sukun,Ada kata 'kos/kost' di judul
"Klojen, Malang","Rumah Premium 1 lantai. Bangunan Kolonial klasik 4 Kamar tidur, 2 Kamar mandi, Ada kamar tidur dan kamar mandi pembantu, garasi, carport. , SHM. Ha...","Rumah Premium 1 lantai. Bangunan Kolonial klasik 4 Kamar tidur, 2 Kamar mandi, Ada kamar tidur dan kamar mandi pembantu, garasi, carport. , SHM. Ha...",13500000000.0,4.0,2.0,543.0,267.0,2026-04-16,Klojen,Aman
"Tasikmadu, Malang","Perumahan Tasikmadu Malang  Lokasi Strategis dekat Suhat dan kampus UB, Polinema, UNISMA, dan UMM.  * Luas tanah 166 m2 * Luas bangunan 140 m2  * K...","Perumahan Tasikmadu Malang  Lokasi Strategis dekat Suhat dan kampus UB, Polinema, UNISMA, dan UMM.  * Luas tanah 166 m2 * Luas bangunan 140 m2  * K...",1400000000.0,3.0,2.0,166.0,140.0,2026-04-16,Lowokwaru,Aman
"Sawojajar, Malang",*DIJUAL* Rmh 2 lantai  Lokasi  Sawojajar 2 Malang  *SHM* Luas : 105m² (15x7) K. Tidur   : 4 K. Mandi : 2  Bangunan Kokoh Jln lebar Bebas banjir Se...,*DIJUAL* Rmh 2 lantai  Lokasi  Sawojajar 2 Malang  *SHM* Luas : 105m² (15x7) K. Tidur   : 4 K. Mandi : 2  Bangunan Kokoh Jln lebar Bebas banjir Se...,1000000000.0,4.0,2.0,105.0,150.0,2026-04-16,Blimbing,Aman
"Sawojajar, Malang","DIJUAL RUMAH HOOK PREMIUM - SAWOJAJAR 2 MALANG   Lokasi di kawasan favorit & berkembang pesat  Harga 1,3 M (NEGO)  FULL FURNISHED - tinggal bawa ko...","DIJUAL RUMAH HOOK PREMIUM - SAWOJAJAR 2 MALANG   Lokasi di kawasan favorit & berkembang pesat  Harga 1,3 M (NEGO)  FULL FURNISHED - tinggal bawa ko...",1300000000.0,3.0,2.0,177.0,108.0,2026-04-16,Blimbing,Aman
"Villa Puncak Tidar, Malang",DIJUAL RUMAH VILLA PUNCAK TIDAR MALANG HARGA MIRING   BANGUNAN MEWAH MODERN  *PROSES UPGRADE BANGUNAN DAN FACADE  Lokasi : PERUMAHAN ELITE  VILLA P...,DIJUAL RUMAH VILLA PUNCAK TIDAR MALANG HARGA MIRING   BANGUNAN MEWAH MODERN  *PROSES UPGRADE BANGUNAN DAN FACADE  Lokasi : PERUMAHAN ELITE  VILLA P...,1500000000.0,3.0,1.0,130.0,100.0,2026-04-16,Sukun,Aman
"Klojen, Malang","Dijual rumah mewah di area gunung-gunung, Klojen, Oro-oro Dowo, Malang  Spesifikasi  Luas tanah : 423 m² (15x28) Luas bangunan : +-350 m² 1.5 lan...","Dijual rumah mewah di area gunung-gunung, Klojen, Oro-oro Dowo, Malang  Spesifikasi  Luas tanah : 423 m² (15x28) Luas bangunan : +-350 m² 1.5 lan...",8000000000.0,6.0,5.0,423.0,350.0,2026-04-16,Klojen,Aman
"Araya, Malang","K67 Dijual Rumah Mewah di Boulevard Cluster Greenwood Golf, Kota Araya Malang   - ⁠posisi hook dan berada di jalan kembar dengan ROW 20 - lokasi ...","K67 Dijual Rumah Mewah di Boulevard Cluster Greenwood Golf, Kota Araya Malang   - ⁠posisi hook dan berada di jalan kembar dengan ROW 20 - lokasi ...",5500000000.0,4.0,4.0,315.0,350.0,2026-04-16,Blimbing,Aman
"Kedungkandang, Malang","Dijual Cepat Dibawah Harga Devoloper Rumah Siap Huni di De Cassablanca Residence Jalan Halim Perdana Kusuma, Kedungkandang Kota Malang   Spesifikas...","Dijual Cepat Dibawah Harga Devoloper Rumah Siap Huni di De Cassablanca Residence Jalan Halim Perdana Kusuma, Kedungkandang Kota Malang   Spesifikas...",625000000.0,2.0,1.0,90.0,70.0,2026-04-16,Kedungkandang,Aman
"Tidar, Malang","DIJUAL RUMAH BARU MODERN MINIMALIS   Lokasi : PERUMAHAN ELITE  THE OZ TIDAR MALANG   KAWASAN HUNIAN PERUMAHAN ELITE YANG NYAMAN, AMAN DAN TENANG   ...","DIJUAL RUMAH BARU MODERN MINIMALIS   Lokasi : PERUMAHAN ELITE  THE OZ TIDAR MALANG   KAWASAN HUNIAN PERUMAHAN ELITE YANG NYAMAN, AMAN DAN TENANG   ...",1340000000.0,3.0,2.0,104.0,110.0,2026-04-16,Sukun,Aman
"Tidar, Malang",DIJUAL RUMAH MODERN THE OZ TIDAR HARGA MIRING   Lokasi : PERUMAHAN ELITE  THE OZ TIDAR MALANG   AUSTALIAN CITY OF MALANG   KAWASAN HUNIAN PERUMAHAN...,DIJUAL RUMAH MODERN THE OZ TIDAR HARGA MIRING   Lokasi : PERUMAHAN ELITE  THE OZ TIDAR MALANG   AUSTALIAN CITY OF MALANG   KAWASAN HUNIAN PERUMAHAN...,650000000.0,2.0,1.0,78.0,45.0,2026-04-16,Sukun,Aman
"Tidar, Malang","K65 *PRIMARY PROJECT**   DIJUAL RUMAH BARU DI CITRALAND PUNCAK TIDAR MALANG    Tidar, Malang - LT 201 m² | LB 90 m² - 2 Kamar Tidur - ⁠1 Kamar ...","K65 *PRIMARY PROJECT**   DIJUAL RUMAH BARU DI CITRALAND PUNCAK TIDAR MALANG    Tidar, Malang - LT 201 m² | LB 90 m² - 2 Kamar Tidur - ⁠1 Kamar ...",3200000000.0,2.0,1.0,201.0,90.0,2026-04-16,Sukun,Aman
"Sawojajar, Malang","Rumah Siap Huni Area Sawojajar Lingkungan Tenang, Row Jalan Lebar Dekat Kampus Wisnuwardhana Akses Mudah ke Fasilitas Umum Area Sawojajar Seperti S...","Rumah Siap Huni Area Sawojajar Lingkungan Tenang, Row Jalan Lebar Dekat Kampus Wisnuwardhana Akses Mudah ke Fasilitas Umum Area Sawojajar Seperti S...",1100000000.0,3.0,2.0,153.0,150.0,2026-04-16,Blimbing,Aman
"Tidar, Malang",K63 :fire:‼️TURUN HARGA 300 JUTA RUMAH HARGA WORTH IT TIDAR‼️:fire:  DIJUAL Rumah Hitung Tanah di Tidar Malang  Spesifikasi : LT : 300 m2 L...,K63 :fire:‼️TURUN HARGA 300 JUTA RUMAH HARGA WORTH IT TIDAR‼️:fire:  DIJUAL Rumah Hitung Tanah di Tidar Malang  Spesifikasi : LT : 300 m2 L...,2100000000.0,6.0,3.0,300.0,250.0,2026-04-16,Sukun,Aman
"Klojen, Malang",Spesifikasi Utama Properti:    - Kamar Tidur: 5   - Kamar Mandi: 5   - Sertifikat: SHM - Sertifikat Hak Milik   - Daya Listrik: 2200 W   - Arah Ban...,Spesifikasi Utama Properti:    - Kamar Tidur: 5   - Kamar Mandi: 5   - Sertifikat: SHM - Sertifikat Hak Milik   - Daya Listrik: 2200 W   - Arah Ban...,3000000000.0,5.0,5.0,352.0,300.0,2026-04-16,Klojen,Aman
"Blimbing, Malang","Dijual Rumah Bagus & Siap Huni di Daerah Jalan Sungai - sungai, Blimbing Malang  Luas Tanah 446 m² Dimensi (±15 x 30) m Luas Bangunan 380 m² Ban...","Dijual Rumah Bagus & Siap Huni di Daerah Jalan Sungai - sungai, Blimbing Malang  Luas Tanah 446 m² Dimensi (±15 x 30) m Luas Bangunan 380 m² Ban...",4300000000.0,6.0,4.0,446.0,380.0,2026-04-16,Blimbing,Aman
